p1	p2	interaction
Q8TAA3	P43686	reaction
P43686	P83110	reaction
P83110	P43686	reaction
P43686	P25786	binding
P25786	P43686	binding
P43686	P17980	binding
P17980	P43686	binding
O00232	P43686	reaction
Q00526	P43686	catalysis
P43686	P61289	binding
P61289	P43686	binding
P43686	P61201	reaction
P61201	P43686	reaction
O95271	P43686	catalysis
O00487	P43686	reaction
P28070	P43686	reaction
P43686	O43242	reaction
P43686	Q9ULI0	binding
Q9ULI0	P43686	binding
P43686	P28074	reaction
P28074	P43686	reaction
P11802	P43686	catalysis
P43686	P35998	reaction
Q9HB75	P43686	catalysis
P43686	Q8N7F7	reaction
Q8N7F7	P43686	reaction
P43686	P20618	reaction
P20618	P43686	reaction
Q05823	P43686	reaction
P62191	P43686	reaction
Q16401	P43686	reaction
P43686	P54725	binding
P54725	P43686	binding
P43686	Q9UNM6	binding
Q9UNM6	P43686	binding
P43686	Q06323	reaction
Q06323	P43686	reaction
Q13177	P43686	catalysis
O00762	P43686	catalysis
P43686	Q15843	reaction
P43686	O15205	binding
O15205	P43686	binding
P43686	P0CG48	binding
P0CG48	P43686	binding
Q00653	P43686	catalysis
P43686	P25788	reaction
A5LHX3	P43686	reaction
P51991	P43686	catalysis
P43686	Q92560	binding
Q92560	P43686	binding
P43686	O00231	reaction
O00231	P43686	reaction
Q495B1	P43686	catalysis
Q15653	P43686	catalysis
O00221	P43686	catalysis
P25787	P43686	reaction
P43686	Q14997	reaction
Q14997	P43686	reaction
Q92997	P43686	catalysis
P43686	P08238	reaction
P43686	Q92743	reaction
Q92743	P43686	reaction
P51965	P43686	catalysis
P43686	Q12931	reaction
P43686	Q2T9J0	binding
Q2T9J0	P43686	binding
Q1L5Z9	P43686	catalysis
P43686	Q04637	reaction
Q04637	P43686	reaction
Q15008	P43686	reaction
P43686	Q99460	reaction
P43686	P55036	reaction
P55036	P43686	reaction
P24864	P43686	catalysis
P62979	P43686	catalysis
Q9H0M0	P43686	catalysis
P43686	P83105	reaction
P83105	P43686	reaction
Q14103	P43686	catalysis
P43686	Q9UL46	binding
Q9UL46	P43686	binding
P53350	P43686	catalysis
P43686	P60900	reaction
P28066	P43686	reaction
P43686	Q96FJ0	binding
Q96FJ0	P43686	binding
P43686	Q92890	binding
Q92890	P43686	binding
Q96CP6	P43686	catalysis
P43686	O00303	reaction
O00303	P43686	reaction
Q9H2K2	P43686	catalysis
Q16659	P43686	catalysis
O14818	P43686	reaction
P0CG47	P43686	catalysis
P43686	Q00534	binding
Q00534	P43686	binding
O14640	P43686	catalysis
Q99729	P43686	catalysis
P43686	Q00537	binding
Q00537	P43686	binding
P24941	P43686	catalysis
P62987	P43686	catalysis
P49841	P43686	catalysis
P43686	P14625	reaction
Q8NAG6	P43686	catalysis
P43686	P54578	binding
P54578	P43686	binding
Q5T1R4	P43686	catalysis
Q8N8A2	P43686	catalysis
O96020	P43686	catalysis
P16157	P43686	catalysis
Q3KR37	P43686	catalysis
P10071	P43686	catalysis
P30153	P43686	catalysis
P43686	Q13200	reaction
P01375	P43686	catalysis
P30154	P43686	catalysis
Q76N89	P43686	catalysis
P43686	Q6ZVN7	reaction
Q6ZVN7	P43686	reaction
P51668	P43686	catalysis
A6NHY2	P43686	catalysis
P43686	P49721	reaction
P49721	P43686	reaction
P19838	P43686	catalysis
Q8IUY3	P43686	catalysis
P61024	P43686	catalysis
Q13618	P43686	catalysis
P43686	P46459	binding
P46459	P43686	binding
P43686	P18074	binding
P18074	P43686	binding
P43686	P49720	binding
P49720	P43686	binding
Q8IYS0	P43686	catalysis
A6NGH8	P43686	catalysis
P10070	P43686	catalysis
Q9HAU4	P43686	catalysis
Q96HH9	P43686	catalysis
P08151	P43686	catalysis
Q9H672	P43686	catalysis
P43686	Q9ULD6	binding
Q9ULD6	P43686	binding
Q8N9V6	P43686	catalysis
P25963	P43686	catalysis
P43686	P54727	binding
P54727	P43686	binding
Q7Z5J8	P43686	catalysis
Q8N5S9	Q9BXA6	ptmod
Q9BXA6	Q8N5S9	ptmod
Q8N5S9	P0CE72	activation
P0CE72	Q8N5S9	activation
Q8N5S9	P54646	binding
P54646	Q8N5S9	binding
Q8N5S9	Q96PF2	activation
Q96PF2	Q8N5S9	activation
Q8N5S9	P20472	activation
P20472	Q8N5S9	activation
Q8N5S9	Q8N2I9	ptmod
Q8N2I9	Q8N5S9	ptmod
Q8N5S9	Q9UGI9	activation
Q9UGI9	Q8N5S9	activation
Q8N5S9	Q14012	activation
Q14012	Q8N5S9	activation
Q8N5S9	Q13131	activation
Q13131	Q8N5S9	activation
Q8N5S9	O76038	activation
O76038	Q8N5S9	activation
Q8N5S9	Q96RG2	activation
Q96RG2	Q8N5S9	activation
Q8N5S9	Q9BXA7	binding
Q9BXA7	Q8N5S9	binding
Q8N5S9	P54619	activation
P54619	Q8N5S9	activation
Q8N5S9	Q96RU8	ptmod
Q96RU8	Q8N5S9	ptmod
Q16566	Q8N5S9	activation
Q8N5S9	P27482	activation
P27482	Q8N5S9	activation
Q8N5S9	Q14680	activation
Q14680	Q8N5S9	activation
Q8N5S9	Q8TD86	activation
Q8TD86	Q8N5S9	activation
Q8N5S9	Q96PN8	binding
Q96PN8	Q8N5S9	binding
Q8N5S9	P63316	activation
P63316	Q8N5S9	activation
Q8N5S9	Q9BXU9	activation
Q9BXU9	Q8N5S9	activation
Q9Y478	Q8N5S9	catalysis
Q8N5S9	Q86V35	activation
Q86V35	Q8N5S9	activation
Q8N5S9	Q9BUY7	activation
Q9BUY7	Q8N5S9	activation
Q8N5S9	Q8NCB2	ptmod
Q8NCB2	Q8N5S9	ptmod
Q8N5S9	P11309	ptmod
P11309	Q8N5S9	ptmod
Q8N5S9	Q8IY84	binding
Q8IY84	Q8N5S9	binding
Q8N5S9	Q9P1W9	ptmod
Q9P1W9	Q8N5S9	ptmod
Q8N5S9	Q8IU85	ptmod
Q8IU85	Q8N5S9	ptmod
Q8N5S9	Q6SA08	binding
Q6SA08	Q8N5S9	binding
Q8N5S9	Q96GE6	activation
Q96GE6	Q8N5S9	activation
Q8N5S9	Q9UGJ0	ptmod
Q9UGJ0	Q8N5S9	ptmod
Q8N5S9	O43741	activation
O43741	Q8N5S9	activation
Q8N5S9	Q9BQI0	activation
Q9BQI0	Q8N5S9	activation
Q8N5S9	Q86V86	ptmod
Q86V86	Q8N5S9	ptmod
Q8N5S9	P55008	activation
P55008	Q8N5S9	activation
Q8N5S9	Q15831	activation
Q15831	Q8N5S9	activation
Q8N5S9	P57058	ptmod
P57058	Q8N5S9	ptmod
Q8N5S9	Q13177	binding
Q13177	Q8N5S9	binding
Q8N5S9	Q9NPB3	activation
Q9NPB3	Q8N5S9	activation
Q8N5S9	Q7Z572	activation
Q7Z572	Q8N5S9	activation
Q8N5S9	O75914	binding
O75914	Q8N5S9	binding
Q8N5S9	P02585	activation
P02585	Q8N5S9	activation
Q8N5S9	P58872	activation
P58872	Q8N5S9	activation
Q8N5S9	P0CE71	activation
P0CE71	Q8N5S9	activation
Q8N5S9	Q96RU7	ptmod
Q96RU7	Q8N5S9	ptmod
Q8N5S9	Q9NP86	activation
Q9NP86	Q8N5S9	activation
Q8N5S9	P0DP24	activation
P0DP24	Q8N5S9	activation
Q8N5S9	P0DP24	activation
P0DP24	Q8N5S9	activation
Q8N5S9	Q8N7B9	activation
Q8N7B9	Q8N5S9	activation
Q8N5S9	Q5VUJ9	activation
Q5VUJ9	Q8N5S9	activation
Q8N5S9	P22676	activation
P22676	Q8N5S9	activation
Q8N5S9	Q6P2M8	activation
Q6P2M8	Q8N5S9	activation
Q8N5S9	Q9NZU7	activation
Q9NZU7	Q8N5S9	activation
Q8N5S9	P57796	activation
P57796	Q8N5S9	activation
Q8N5S9	Q13153	binding
Q13153	Q8N5S9	binding
Q8N5S9	Q5THR3	activation
Q5THR3	Q8N5S9	activation
Q8N5S9	A8MZ26	activation
A8MZ26	Q8N5S9	activation
Q8N5S9	Q9NZT1	activation
Q9NZT1	Q8N5S9	activation
Q8N5S9	A8K855	activation
A8K855	Q8N5S9	activation
Q8N5S9	P0DP24	activation
P0DP24	Q8N5S9	activation
Q8N5S9	P05937	activation
P05937	Q8N5S9	activation
Q15027	P35606	binding
P35606	Q15027	binding
P62330	Q15027	inhibition
Q15027	O75154	catalysis
Q15027	P31944	binding
P31944	Q15027	binding
Q15027	P55211	binding
P55211	Q15027	binding
P57735	Q15027	reaction
Q15027	Q6IQ22	binding
Q6IQ22	Q15027	binding
Q15027	O75689	binding
O75689	Q15027	binding
Q15907	Q15027	catalysis
Q15027	Q8WU79	binding
Q8WU79	Q15027	binding
Q15027	P57730	binding
P57730	Q15027	binding
Q15027	Q9UNT1	binding
Q9UNT1	Q15027	binding
Q15027	P62491	reaction
Q15027	O60763	binding
O60763	Q15027	binding
Q15027	P42575	binding
P42575	Q15027	binding
Q15027	Q8N6T3	binding
Q8N6T3	Q15027	binding
Q15027	P29466	binding
P29466	Q15027	binding
Q15027	Q15121	binding
Q15121	Q15027	binding
Q15027	Q9UBK7	reaction
Q9UBK7	Q15027	reaction
Q15027	P53621	reaction
P53621	Q15027	reaction
Q15027	Q9NXU5	activation
Q9NXU5	Q15027	activation
Q15027	Q9NP61	binding
Q9NP61	Q15027	binding
Q15027	Q8IYB5	binding
Q8IYB5	Q15027	binding
Q15027	P31749	ptmod
Q15027	Q9Y2G2	binding
Q9Y2G2	Q15027	binding
Q15027	Q00610	binding
Q00610	Q15027	binding
Q15027	P51878	binding
P51878	Q15027	binding
Q15027	P55210	binding
P55210	Q15027	binding
Q15027	O14939	catalysis
Q15027	Q14790	binding
Q14790	Q15027	binding
Q15027	Q9Y2X7	binding
Q9Y2X7	Q15027	binding
Q15027	Q92851	binding
Q92851	Q15027	binding
Q15027	Q8N6H7	binding
Q8N6H7	Q15027	binding
Q15027	Q9NPF8	binding
Q9NPF8	Q15027	binding
Q15027	O15519	binding
O15519	Q15027	binding
Q15027	P49662	binding
P49662	Q15027	binding
Q15027	P55212	binding
P55212	Q15027	binding
Q15027	P42574	binding
P42574	Q15027	binding
Q15027	Q13393	catalysis
Q15027	Q5EG05	binding
Q5EG05	Q15027	binding
Q9GZP9	Q9UKV5	reaction
Q9UKV5	Q9GZP9	reaction
Q9BUN8	Q9GZP9	catalysis
Q9UBV2	Q9GZP9	reaction
Q9ULI0	Q9GZP9	reaction
Q68CR1	Q9GZP9	catalysis
Q9GZP9	Q8WU17	reaction
Q9GZP9	Q5M7Z0	reaction
Q5M7Z0	Q9GZP9	reaction
Q13438	Q9GZP9	catalysis
Q9GZP9	Q5TEA6	catalysis
Q9GZP9	Q96EP1	catalysis
Q9GZP9	Q9UNN5	binding
Q9UNN5	Q9GZP9	binding
Q9GZP9	Q92890	binding
Q92890	Q9GZP9	binding
Q15465	Q9GZP9	reaction
Q86TM6	Q9GZP9	reaction
Q9GZP9	Q96EX2	binding
Q96EX2	Q9GZP9	binding
Q9GZP9	Q96MT1	reaction
Q96MT1	Q9GZP9	reaction
Q96DZ1	Q9GZP9	reaction
Q9GZP9	P55072	reaction
P55072	Q9GZP9	reaction
Q14154	Q9GZP9	catalysis
Q96BR5	Q9GZP9	catalysis
Q9GZP9	Q8TAT6	binding
Q8TAT6	Q9GZP9	binding
Q9GZP9	Q9P2M1	binding
Q9P2M1	Q9GZP9	binding
Q9GZP9	Q04323	binding
Q04323	Q9GZP9	binding
Q9GZP9	Q96CS3	binding
Q96CS3	Q9GZP9	binding
Q9GZP9	O00124	binding
O00124	Q9GZP9	binding
Q9GZP9	Q13596	binding
Q13596	Q9GZP9	binding
Q9GZP9	O60749	binding
O60749	Q9GZP9	binding
Q9HBY0	P49279	reaction
Q9HBY0	Q38SD2	activation
Q38SD2	Q9HBY0	activation
P13498	Q9HBY0	reaction
Q9HBY0	Q5S007	activation
Q5S007	Q9HBY0	activation
Q9HBY0	P63000	binding
P63000	Q9HBY0	binding
P49281	Q9HBY0	reaction
O94953	Q9H7Z6	binding
Q9H7Z6	O94953	binding
O94953	O96028	binding
O96028	O94953	binding
Q92993	O94953	catalysis
Q92794	O94953	catalysis
P61088	O94953	reaction
O94953	P63279	reaction
P63279	O94953	reaction
O94953	P03372	activation
O94953	Q6SPF0	reaction
Q6SPF0	O94953	reaction
O94953	Q9BYW2	reaction
Q9BYW2	O94953	reaction
O94953	P0CG47	reaction
P0CG47	O94953	reaction
O94953	O95251	binding
O95251	O94953	binding
Q8N2W9	O94953	reaction
O94953	Q9C005	binding
Q9C005	O94953	binding
O94953	Q8WYB5	catalysis
O94953	Q9HAF1	reaction
O75164	O94953	catalysis
O94953	Q96LW2	binding
Q96LW2	O94953	binding
O94953	P55201	binding
P55201	O94953	binding
O94953	Q9ULD4	binding
Q9ULD4	O94953	binding
O94953	P0CG48	reaction
P0CG48	O94953	reaction
O94953	O95696	binding
O95696	O94953	binding
O94953	Q9NZJ5	ptmod
O94953	Q9UBL3	binding
Q9UBL3	O94953	binding
P32942	Q13683	binding
Q13683	P32942	binding
P32942	P11215	binding
P11215	P32942	binding
P32942	P17301	activation
P17301	P32942	activation
P32942	Q9UKX5	binding
Q9UKX5	P32942	binding
P32942	P56199	activation
P56199	P32942	activation
P32942	P38570	activation
P38570	P32942	activation
P32942	Q13349	binding
P32942	P08514	binding
P08514	P32942	binding
P32942	P53708	binding
P53708	P32942	binding
P32942	O75578	activation
O75578	P32942	activation
P32942	P05107	binding
P32942	P06756	binding
P06756	P32942	binding
P32942	P80108	binding
P80108	P32942	binding
P32942	P20701	binding
P20701	P32942	binding
P32942	Q9NNX6	binding
Q9NNX6	P32942	binding
P32942	P08648	activation
P08648	P32942	activation
P32942	P23229	activation
P23229	P32942	activation
P32942	P20702	binding
P20702	P32942	binding
P32942	Q13797	binding
Q13797	P32942	binding
P32942	P26038	binding
P26038	P32942	binding
P32942	P13612	activation
P13612	P32942	activation
Q8WZ74	O00506	binding
O00506	Q8WZ74	binding
Q6Q0C0	Q8WZ74	catalysis
Q8TBB1	Q8WZ74	catalysis
Q8WZ74	Q9Y3A3	binding
Q9Y3A3	Q8WZ74	binding
Q8WZ74	P62714	binding
P62714	Q8WZ74	binding
Q8WZ74	O14976	binding
O14976	Q8WZ74	binding
Q8WZ74	Q9P289	binding
Q9P289	Q8WZ74	binding
Q8WZ74	Q9Y6E0	binding
Q9Y6E0	Q8WZ74	binding
O94805	Q92794	binding
Q92794	O94805	binding
O94805	O95251	binding
O95251	O94805	binding
O94805	P68133	binding
P68133	O94805	binding
O94805	Q9H7Z6	binding
Q9H7Z6	O94805	binding
O94805	P09429	binding
P09429	O94805	binding
O94805	O60885	binding
O60885	O94805	binding
O94805	Q9P0W2	binding
Q9P0W2	O94805	binding
O94805	Q9BXF3	binding
Q9BXF3	O94805	binding
O94805	O75177	binding
O75177	O94805	binding
O94805	Q9H568	binding
Q9H568	O94805	binding
O94805	Q8TDG2	binding
Q8TDG2	O94805	binding
O94805	Q00059	binding
Q00059	O94805	binding
O94805	Q8WXR4	binding
Q8WXR4	O94805	binding
O94805	P63267	binding
P63267	O94805	binding
O94805	P51532	binding
P51532	O94805	binding
O94805	Q9BYD9	binding
Q9BYD9	O94805	binding
O94805	Q9Y5K5	binding
Q9Y5K5	O94805	binding
O94805	Q4LE39	binding
Q4LE39	O94805	binding
O94805	P26583	binding
P26583	O94805	binding
O94805	P0CB47	binding
P0CB47	O94805	binding
O94805	Q68CP9	binding
Q68CP9	O94805	binding
O94805	Q8N5Y2	binding
Q8N5Y2	O94805	binding
O94805	Q9Y614	binding
Q9Y614	O94805	binding
O94805	Q9H9F9	binding
Q9H9F9	O94805	binding
O94805	Q8WYB5	binding
Q8WYB5	O94805	binding
O94805	O14744	binding
O14744	O94805	binding
O94805	Q6S8J3	binding
Q6S8J3	O94805	binding
Q12798	O94805	activation
O94805	Q562R1	binding
Q562R1	O94805	binding
O94805	P0CG39	binding
P0CG39	O94805	binding
O94805	Q92922	binding
Q92922	O94805	binding
O94805	Q96NM4	binding
Q96NM4	O94805	binding
O94805	A6NKF2	binding
A6NKF2	O94805	binding
O94805	Q6SPF0	binding
Q6SPF0	O94805	binding
O94805	Q52LR7	binding
Q52LR7	O94805	binding
O94805	Q9HAF1	binding
Q9HAF1	O94805	binding
O94805	Q92560	binding
Q92560	O94805	binding
O94805	Q6STE5	binding
Q6STE5	O94805	binding
O94805	Q86YR6	binding
Q86YR6	O94805	binding
O94805	Q9Y615	binding
Q9Y615	O94805	binding
O94805	Q9H0E9	binding
Q9H0E9	O94805	binding
O94805	Q9NZ32	binding
Q9NZ32	O94805	binding
O94805	Q9UNL4	binding
Q9UNL4	O94805	binding
O94805	Q14865	binding
Q14865	O94805	binding
O94805	Q5VVJ2	binding
Q5VVJ2	O94805	binding
O94805	P61163	binding
P61163	O94805	binding
O94805	Q15014	binding
Q15014	O94805	binding
O94805	O15347	binding
O15347	O94805	binding
O94805	Q8TAQ2	binding
Q8TAQ2	O94805	binding
O94805	O75528	binding
O75528	O94805	binding
O94805	Q03111	binding
Q03111	O94805	binding
O94805	Q5JWF8	binding
Q5JWF8	O94805	binding
O94805	Q96KV7	binding
Q96KV7	O94805	binding
O94805	Q8WW32	binding
Q8WW32	O94805	binding
O94805	O43257	binding
O43257	O94805	binding
O94805	B2RTY4	reaction
O94805	Q92993	binding
Q92993	O94805	binding
O94805	P68032	binding
P68032	O94805	binding
O94805	Q99856	binding
Q99856	O94805	binding
O94805	Q92784	binding
Q92784	O94805	binding
O94805	Q9Y230	binding
Q9Y230	O94805	binding
O94805	Q9NP66	binding
Q9NP66	O94805	binding
O94805	Q96GM5	binding
Q96GM5	O94805	binding
O94805	Q86U86	binding
Q86U86	O94805	binding
O94805	Q92831	binding
Q92831	O94805	binding
O94805	Q8WYH8	binding
Q8WYH8	O94805	binding
O94805	P17480	binding
P17480	O94805	binding
O94805	Q5VWG9	binding
Q5VWG9	O94805	binding
O94805	Q03989	binding
Q03989	O94805	binding
O94805	P37231	binding
P37231	O94805	binding
O94805	Q9NPF5	binding
Q9NPF5	O94805	binding
O94805	Q58F21	binding
Q58F21	O94805	binding
O94805	Q9BQA1	binding
Q9BQA1	O94805	binding
O94805	Q9H160	binding
Q9H160	O94805	binding
Q13459	O94805	reaction
O94805	O95619	binding
O95619	O94805	binding
O94805	Q15532	binding
Q15532	O94805	binding
O94805	O94842	binding
O94842	O94805	binding
O94805	Q12824	binding
Q12824	O94805	binding
O94805	Q8N3C7	binding
Q8N3C7	O94805	binding
O94805	Q92925	binding
Q92925	O94805	binding
O94805	Q8TDY3	binding
Q8TDY3	O94805	binding
O94805	Q8TC94	binding
Q8TC94	O94805	binding
O94805	Q8IVW6	binding
Q8IVW6	O94805	binding
O94805	O14497	binding
O14497	O94805	binding
O94805	Q9UBU8	binding
Q9UBU8	O94805	binding
O94805	P42568	binding
P42568	O94805	binding
O94805	P29374	binding
P29374	O94805	binding
O94805	P51531	binding
P51531	O94805	binding
O94805	Q92830	binding
Q92830	O94805	binding
O94805	Q8NFD5	binding
Q8NFD5	O94805	binding
P41208	O94805	activation
O94805	Q9ULM3	binding
Q9ULM3	O94805	binding
O94805	Q9NXR8	binding
Q9NXR8	O94805	binding
O94805	O94900	binding
O94900	O94805	binding
O94805	Q15059	binding
Q15059	O94805	binding
O94805	Q15906	binding
Q15906	O94805	binding
O94805	O15405	binding
O15405	O94805	binding
O94805	Q9H2F5	binding
Q9H2F5	O94805	binding
O94805	P42025	binding
P42025	O94805	binding
O94805	Q6PI98	binding
Q6PI98	O94805	binding
O15182	O94805	activation
O94805	Q9UK53	binding
Q9UK53	O94805	binding
O94805	P63261	binding
P63261	O94805	binding
O94805	Q9UEE9	binding
Q9UEE9	O94805	binding
O94805	Q9H981	binding
Q9H981	O94805	binding
O94805	Q9GZN1	binding
Q9GZN1	O94805	binding
O94805	Q9Y265	binding
Q9Y265	O94805	binding
O94805	P0CG38	binding
P0CG38	O94805	binding
O94805	Q8WUB8	binding
Q8WUB8	O94805	binding
Q14807	Q13561	reaction
Q9UM11	Q14807	reaction
Q14807	O00444	binding
O00444	Q14807	binding
Q14807	P61163	binding
P61163	Q14807	binding
Q14807	Q9NQS7	binding
Q9NQS7	Q14807	binding
Q14807	Q96DZ5	reaction
Q14807	O43684	catalysis
P53350	Q14807	reaction
Q9NSK0	Q14807	reaction
Q14807	P53618	reaction
P53618	Q14807	reaction
Q9H900	Q14807	catalysis
Q14807	O15392	binding
O15392	Q14807	binding
Q14807	Q9BZD4	binding
Q9BZD4	Q14807	binding
Q14807	Q9BW19	reaction
Q14807	Q9P2E2	reaction
Q9H4B4	Q14807	reaction
Q15691	Q14807	catalysis
Q9UIL4	Q14807	reaction
Q14807	Q6P597	reaction
Q15555	Q14807	reaction
Q14807	O15020	reaction
O15020	Q14807	reaction
Q14807	Q96GD4	binding
Q96GD4	Q14807	binding
Q14807	O75396	reaction
Q14807	O14777	activation
Q9Y6D9	Q14807	activation
Q13257	Q14807	catalysis
Q14807	P33981	binding
P33981	Q14807	binding
Q9NYY3	Q14807	reaction
P30307	Q14807	expression
Q9UQB9	Q14807	reaction
Q14807	Q14674	catalysis
Q8N3C7	Q14807	reaction
Q14807	O14965	catalysis
Q14807	Q14008	reaction
Q14008	Q14807	reaction
O60566	Q14807	catalysis
Q14807	Q13409	reaction
Q13409	Q14807	reaction
Q9BVG8	Q14807	reaction
P52732	Q14807	reaction
Q14807	Q9H0B6	reaction
Q9UPY8	Q14807	catalysis
Q14807	P46060	activation
Q14807	Q9H0H5	reaction
Q14807	Q9NZ32	binding
Q9NZ32	Q14807	binding
Q14807	O14576	reaction
O14576	Q14807	reaction
Q12834	Q14807	reaction
Q14807	O43264	catalysis
Q14807	P30622	reaction
Q14807	O43683	reaction
O43683	Q14807	reaction
Q14807	P42025	reaction
P42025	Q14807	reaction
Q14807	Q92845	reaction
Q9UDT6	Q14807	reaction
P63167	Q14807	reaction
Q14807	O14578	binding
O14578	Q14807	binding
Q14807	Q496M5	catalysis
Q96AC6	Q14807	reaction
Q14807	Q08050	binding
Q08050	Q14807	binding
Q14807	Q9UNY4	binding
Q9UNY4	Q14807	binding
A7KAX9	Q14807	reaction
Q14807	Q07866	reaction
Q14807	Q14203	reaction
Q14203	Q14807	reaction
Q14807	O00358	binding
O00358	Q14807	binding
Q14807	Q96FJ2	reaction
Q14807	Q14168	binding
Q14168	Q14807	binding
Q9GZN4	P25116	activation
P25116	Q9GZN4	activation
Q9GZN4	O00254	activation
O00254	Q9GZN4	activation
Q9GZN4	Q96RI0	activation
Q96RI0	Q9GZN4	activation
P31997	P13688	reaction
Q12913	P13688	reaction
Q8TDQ0	P13688	expression
P13688	P40198	reaction
P23467	P13688	reaction
P13688	Q06124	binding
Q06124	P13688	binding
P13688	P21333	binding
P21333	P13688	binding
Q9H6S0	Q969X6	binding
Q969X6	Q9H6S0	binding
Q9H6S0	Q7RTV0	reaction
Q7RTV0	Q9H6S0	reaction
O94913	Q9H6S0	reaction
Q9H6S0	Q15428	reaction
Q15428	Q9H6S0	reaction
Q9H6S0	Q9Y5J1	binding
Q9Y5J1	Q9H6S0	binding
Q9H6S0	O43809	catalysis
Q9H6S0	Q15056	binding
Q15056	Q9H6S0	binding
Q9H6S0	Q9HB75	activation
Q9HB75	Q9H6S0	activation
Q9H6S0	O94906	catalysis
Q9H6S0	Q9Y6V7	binding
Q9Y6V7	Q9H6S0	binding
Q15393	Q9H6S0	reaction
Q9H6S0	Q05048	reaction
Q05048	Q9H6S0	reaction
O95391	Q9H6S0	reaction
Q9H6S0	Q9P013	binding
Q9P013	Q9H6S0	binding
Q9H6S0	Q9NW64	reaction
Q9H6S0	Q15427	binding
Q15427	Q9H6S0	binding
Q9H6S0	Q5TAP6	binding
Q5TAP6	Q9H6S0	binding
Q9H6S0	Q7L7V1	binding
Q7L7V1	Q9H6S0	binding
Q9H6S0	Q13573	binding
Q13573	Q9H6S0	binding
Q9H6S0	P62308	reaction
Q9H6S0	Q9NXE8	binding
Q9NXE8	Q9H6S0	binding
Q9H6S0	Q9BZK7	binding
Q9BZK7	Q9H6S0	binding
Q9H6S0	Q6PJP8	binding
Q6PJP8	Q9H6S0	binding
Q9UMS4	Q9H6S0	reaction
Q9H6S0	Q8N2A8	binding
Q8N2A8	Q9H6S0	binding
Q9H6S0	B2RXH8	binding
B2RXH8	Q9H6S0	binding
Q9H6S0	Q9P2I0	binding
Q9P2I0	Q9H6S0	binding
Q9H6S0	Q99973	binding
Q99973	Q9H6S0	binding
Q9H6S0	Q9NQZ2	binding
Q9NQZ2	Q9H6S0	binding
Q9H6S0	Q14692	binding
Q14692	Q9H6S0	binding
Q9H6S0	Q9UKF6	binding
Q9UKF6	Q9H6S0	binding
Q9H6S0	Q9H6R4	binding
Q9H6R4	Q9H6S0	binding
P62306	Q9H6S0	reaction
Q9Y5S9	Q9H6S0	catalysis
Q9H6S0	Q96SD1	binding
Q96SD1	Q9H6S0	binding
Q9BZJ0	Q9H6S0	catalysis
Q9H6S0	Q9BXT8	binding
Q9BXT8	Q9H6S0	binding
Q9H6S0	Q13601	binding
Q13601	Q9H6S0	binding
Q9H6S0	Q13243	binding
Q13243	Q9H6S0	binding
O95926	Q9H6S0	reaction
Q9H6S0	Q15029	binding
Q15029	Q9H6S0	binding
Q10570	Q9H6S0	reaction
Q9H6S0	Q9Y2X3	binding
Q9Y2X3	Q9H6S0	binding
Q9H6S0	O43818	binding
O43818	Q9H6S0	binding
Q9H6S0	Q9GZT3	binding
Q9GZT3	Q9H6S0	binding
Q9H6S0	Q12874	binding
Q12874	Q9H6S0	binding
Q9H6S0	Q12996	binding
Q12996	Q9H6S0	binding
Q9H6S0	P26368	catalysis
Q9H6S0	O43660	reaction
O43660	Q9H6S0	reaction
Q9H6S0	Q9BWJ5	reaction
Q9BWJ5	Q9H6S0	reaction
Q9H6S0	P07910	binding
P07910	Q9H6S0	binding
Q9H6S0	O15213	binding
O15213	Q9H6S0	binding
Q9H6S0	Q86SE5	binding
Q86SE5	Q9H6S0	binding
Q9H6S0	P51003	binding
P51003	Q9H6S0	binding
Q9H6S0	O75934	catalysis
Q9H6S0	Q8TE96	binding
Q8TE96	Q9H6S0	binding
Q9HCG8	Q9H6S0	reaction
Q9H6S0	Q09161	catalysis
Q9H6S0	Q01780	activation
Q9H6S0	P22626	binding
P22626	Q9H6S0	binding
Q6P2Q9	Q9H6S0	catalysis
Q9H6S0	Q9H583	activation
Q9H6S0	Q6UN15	reaction
Q9H6S0	Q92620	binding
Q92620	Q9H6S0	binding
Q9H6S0	Q96G21	binding
Q96G21	Q9H6S0	binding
Q9H6S0	Q9H0L4	binding
Q9H0L4	Q9H6S0	binding
Q9H6S0	Q9NV88	binding
Q9NV88	Q9H6S0	binding
Q9H6S0	Q99459	binding
Q99459	Q9H6S0	binding
Q9H6S0	Q9BWT3	binding
Q9BWT3	Q9H6S0	binding
Q9H6S0	P41223	reaction
Q9H6S0	Q9Y3A4	activation
Q9H6S0	O75533	reaction
Q9H6S0	Q15459	binding
Q15459	Q9H6S0	binding
Q9H6S0	Q8TBF4	binding
Q8TBF4	Q9H6S0	binding
Q9H6S0	O60508	binding
O60508	Q9H6S0	binding
Q9H6S0	Q9UKM9	binding
Q9UKM9	Q9H6S0	binding
Q9H6S0	Q12788	binding
Q12788	Q9H6S0	binding
Q9H6S0	Q9NUL7	binding
Q9NUL7	Q9H6S0	binding
Q9H6S0	Q9ULR0	binding
Q9ULR0	Q9H6S0	binding
Q9H6S0	Q9Y2P8	binding
Q9Y2P8	Q9H6S0	binding
Q9H6S0	A2RUB1	expression
Q13435	Q9H6S0	catalysis
Q9H6S0	Q92989	reaction
Q92989	Q9H6S0	reaction
Q9H6S0	Q14690	binding
Q14690	Q9H6S0	binding
